case,n,cost_raw,cost_gap,cost_oracle,rt
81,102,1.3024973025738258,1.0713101409304302,1.0713101409304302,6.45
82,103,1.521746401919088,1.4888231646298327,1.4888231646298327,6.84
83,104,1.4927153980453065,1.4927153980453065,1.4927153980453065,6.55
84,105,1.19640390891553,1.19640390891553,1.1922235179816003,6.53
85,106,1.342516190993268,1.2594580354924432,1.2594580354924432,6.81
86,107,1.3506005535560326,1.3506005535560326,1.3506005535560326,7.1
87,108,1.2178885978539629,1.1852326388063115,1.1852326388063115,6.78
88,109,2.3630728973346566,2.3266449326395082,2.3266449326395082,6.65
89,110,2.2926325774569953,2.2926325774569953,2.2926325774569953,6.97
90,111,1.9534786848094465,1.7560151902598162,1.7560151902598162,6.69
91,112,1.1199355882142605,1.1199355882142605,1.1199355882142605,6.92
92,113,1.4844945468794406,1.4844945468794406,1.4844945468794406,6.53
93,114,1.7044465353468934,1.7044465353468934,1.7044465353468934,6.69
94,115,1.3285100495209938,1.3285100495209938,1.3285100495209938,7.02
95,116,1.186643102476813,1.186643102476813,1.1865139296889176,6.96
96,117,1.295358798469972,1.2323333247731842,1.2323333247731842,7.01
97,118,2.1408234029698487,1.9834725940668172,1.9834725940668172,7.27
98,119,1.5105444865740356,1.5105444865740356,1.5105444865740356,6.9
99,120,1.3081632239306697,1.2958761805196009,1.2958761805196009,7.34
