case,n,tau_raw,tau_gap,max_dh,top1_raw,top1_gap
61,82,0.7973333333333334,0.9431111111111112,3.1959705878011166,1,1
62,83,0.8012100259291269,0.9585133967156437,2.2064899715718065,0,1
63,84,0.6888504753673292,0.856525496974935,2.3967797544929743,1,1
64,85,0.8773333333333335,0.9235555555555557,2.129633654641904,1,1
65,86,0.6093344857389801,0.8807260155574761,3.617947596028757,1,1
66,87,0.7613168724279836,0.9407407407407409,3.7102134022632174,0,1
67,88,0.700164744645799,0.9093904448105437,3.880497032114354,0,1
68,89,0.5743183817062444,0.9050131926121371,2.294646341834411,1,1
69,90,0.7902222222222223,0.9075555555555557,2.0803010713821823,1,1
70,91,0.6094986807387862,0.9331574318381706,3.0401187807035215,1,1
71,92,0.5948497854077254,0.9055793991416309,2.9366411362143694,1,1
72,93,0.7365684575389947,0.8960138648180241,1.861494453948236,1,1
73,94,0.8492201039861351,0.97053726169844,2.068931203343568,0,1
74,95,0.5226480836236934,0.9233449477351917,3.1814116916742456,1,1
75,96,0.8457538994800692,0.9549393414211437,2.9567603570139425,1,1
76,97,0.6728888888888889,0.9680000000000001,2.4394369471440487,1,1
77,98,0.9384344766930518,0.9507475813544414,1.3898580818538016,0,1
78,99,0.7078651685393257,0.9360414866032841,2.4352498484833203,0,1
79,100,0.7105719237435009,0.9133448873483535,3.2323221752232967,0,0
80,101,0.8411053540587219,0.9360967184801382,1.9856035115435353,0,0
81,102,0.7389801210025927,0.9360414866032841,2.6271207467319817,0,1
82,103,0.7071057192374349,0.951473136915078,2.370164093796609,0,1
83,104,0.7600000000000001,0.928888888888889,2.61629894526269,1,1
84,105,0.6236933797909407,0.8989547038327527,2.1441337580529556,0,0
85,106,0.6214347450302505,0.9775280898876402,2.6453070676402506,0,1
86,107,0.7617777777777779,0.9537777777777778,2.296979926486656,1,1
87,108,0.792274678111588,0.9278969957081545,1.902613569969349,0,1
88,109,0.8356401384083044,0.9515570934256055,2.4351514932663716,0,1
89,110,0.6939313984168866,0.8698328935795954,2.759370984009909,1,1
90,111,0.7142857142857143,0.9738675958188154,2.6276922513897794,0,1
91,112,0.6600858369098713,0.938197424892704,2.29740095922754,1,1
92,113,0.7302977232924692,0.9404553415061294,3.034156729076859,1,1
93,114,0.7457777777777779,0.8346666666666668,1.7046822973753954,1,1
94,115,0.7845884413309981,0.8774080560420314,1.9274305197316777,1,1
95,116,0.6093344857389801,0.8859118409680206,78.44945143438748,0,0
96,117,0.8091143594153052,0.9570077386070507,2.0299748309390644,0,1
97,118,0.5845493562231759,0.9811158798283262,3.2293588449436794,0,1
98,119,0.8202247191011235,0.9446845289541917,2.5272270952030693,1,1
99,120,0.7684943429068755,0.9321148825065274,2.353393684482408,0,1
