case,n,tag,family,v_rel,rho_raw,rho_gap
5,26,dit-direct-t1-bfix,DiT,0.4444444444444444,1.374833958600817,1.0828600509309898
5,26,dit-direct-t2,DiT,0.4444444444444444,1.3267697777304541,1.0740326510415987
5,26,dit-direct-t2-bfix,DiT,0.4444444444444444,1.3267697777304541,1.0740326510415987
5,26,dit-abacus-0.55,DiT,0.5555555555555556,1.0822700977511805,1.02912821300422
5,26,dit-abacus-0.55-bfix,DiT,0.5555555555555556,1.0822700977511805,1.02912821300422
5,26,dit-abacus-0.7,DiT,0.5555555555555556,1.2811129650840198,1.0656473680301861
5,26,dit-abacus-0.7-bfix,DiT,0.5555555555555556,1.2811129650840198,1.0656473680301861
5,26,dit-abacus-0.85,DiT,0.5925925925925926,1.2909896478112033,1.0674613487901858
5,26,dit-abacus-0.85-bfix,DiT,0.5925925925925926,1.2909896478112033,1.0674613487901858
5,26,dit-cluster-0.55,DiT,0.18518518518518517,0.8729050916501112,0.9906765599926036
5,26,dit-cluster-0.55-bfix,DiT,0.18518518518518517,0.8729050916501112,0.9906765599926036
5,26,dit-cluster-0.7,DiT,0.18518518518518517,0.8729050916501112,0.9906765599926036
5,26,dit-cluster-0.7-bfix,DiT,0.18518518518518517,0.8729050916501112,0.9906765599926036
5,26,dit-cluster-0.85,DiT,0.2222222222222222,0.9845458450015389,1.0111803116941451
5,26,dit-cluster-0.85-bfix,DiT,0.2222222222222222,0.9845458450015389,1.0111803116941451
5,26,dit-skyline-0.55,DiT,0.3333333333333333,0.7496434803795418,0.9087532014748253
5,26,dit-skyline-0.7,DiT,0.3333333333333333,0.7774988788042929,0.8588165196220843
5,26,dit-skyline-0.85,DiT,0.25925925925925924,0.9573510028895987,1.006185717771301
5,26,nn-skyline-0.55,classical,0.37037037037037035,0.7448822341197567,0.9078787249845681
5,26,nn-skyline-0.7,classical,0.3333333333333333,0.7784947946726967,0.8589994576264852
5,26,nn-skyline-0.85,classical,0.2222222222222222,0.9404748811037611,1.003086247639042
5,26,nn-shelf-0.5,classical,0.2962962962962963,0.7607705677496632,0.9700820474969998
5,26,nn-shelf-0.65,classical,0.25925925925925924,0.9635926826565261,1.007332079102105
5,26,nn-shelf-0.8,classical,0.2222222222222222,1.083782981921939,1.0294060127679756
5,26,spread-0.55,classical,0.48148148148148145,0.8086398755649261,0.9788736742065628
5,26,spread-0.7,classical,0.4444444444444444,0.9726567773340686,1.0089967889830012
5,26,spread-0.85,classical,0.5185185185185185,1.0370829131065131,1.0208292068607552
5,26,skyline-clust-0.55,classical,0.4074074074074074,0.7619761462250219,0.9110181724532478
5,26,dp-skyline-0.55,classical,0.37037037037037035,0.7509855650583876,0.9089996511917444
5,26,abacus-0.55,classical,0.4444444444444444,0.7832544189871333,0.9742114072660835
5,26,skyline-clust-0.7,classical,0.2962962962962963,0.8452017929764977,0.9263032252190023
5,26,dp-skyline-0.7,classical,0.2962962962962963,0.8032724715604379,0.91860258124533
5,26,abacus-0.7,classical,0.48148148148148145,0.9423020926817647,1.0034218596013504
5,26,skyline-clust-0.85,classical,0.25925925925925924,0.9555029437970307,1.0058462985418493
5,26,dp-skyline-0.85,classical,0.3333333333333333,0.9048679243734649,0.996546755643797
5,26,abacus-0.85,classical,0.3333333333333333,0.9468081812655095,1.0042494583345876
5,26,shelf-0.5,classical,0.2962962962962963,0.7517492834641404,0.968425221822164
5,26,shelf-0.65,classical,0.25925925925925924,0.9456852686567314,1.004043230674102
