case,n,tag,family,v_rel,rho_raw,rho_gap
84,105,dit-cluster-0.7-bfix,DiT,0.3116883116883117,0.9689267749876227,1.0026272805412928
84,105,dit-cluster-0.85,DiT,0.3116883116883117,0.9689267749876227,1.0026272805412928
84,105,dit-cluster-0.85-bfix,DiT,0.3116883116883117,0.9689267749876227,1.0026272805412928
84,105,dit-skyline-0.55,DiT,0.3116883116883117,0.9614758167486904,0.9803260080235892
84,105,dit-skyline-0.7,DiT,0.3116883116883117,0.9614758167486904,0.9803260080235892
84,105,dit-skyline-0.85,DiT,0.2727272727272727,1.0019373419863198,0.988249083869859
84,105,nn-skyline-0.55,classical,0.3116883116883117,1.0267284003909318,0.9931036087836721
84,105,nn-skyline-0.7,classical,0.3116883116883117,1.0267284003909318,0.9931036087836721
84,105,nn-skyline-0.85,classical,0.2727272727272727,0.9441435894957755,0.9566241306574477
84,105,nn-shelf-0.5,classical,0.05194805194805195,1.0095736499127697,1.0105867063560905
84,105,nn-shelf-0.65,classical,0.05194805194805195,1.0095736499127697,1.0105867063560905
84,105,nn-shelf-0.8,classical,0.05194805194805195,1.0430183862794562,1.017135745117336
84,105,spread-0.55,classical,0.5584415584415584,1.0118517976969166,1.011032754700031
84,105,spread-0.7,classical,0.5584415584415584,1.0118517976969166,1.011032754700031
84,105,spread-0.85,classical,0.5584415584415584,1.0187838712484751,1.0123902183324698
84,105,skyline-clust-0.55,classical,0.3246753246753247,1.0078091661194148,1.0102411845626191
84,105,dp-skyline-0.55,classical,0.3116883116883117,0.8805230238268434,0.985316203462715
84,105,abacus-0.55,classical,0.5194805194805194,0.9569657957399226,1.0002851129691839
84,105,skyline-clust-0.7,classical,0.3246753246753247,1.0078091661194148,1.0102411845626191
84,105,dp-skyline-0.7,classical,0.3116883116883117,0.8805230238268434,0.985316203462715
84,105,abacus-0.7,classical,0.5194805194805194,0.9569657957399226,1.0002851129691839
84,105,skyline-clust-0.85,classical,0.2987012987012987,0.8944092698772731,0.9671931200227764
84,105,dp-skyline-0.85,classical,0.3246753246753247,0.9090040585136605,0.9908933163652819
84,105,abacus-0.85,classical,0.5064935064935064,0.8902161177251267,0.9872142850794057
84,105,shelf-0.5,classical,0.05194805194805195,1.0659767144235877,1.0216314318075554
84,105,shelf-0.65,classical,0.05194805194805195,1.0659767144235877,1.0216314318075554
84,105,shelf-0.8,classical,0.05194805194805195,1.0689616805808655,1.0222158937051888
84,105,restart-t0-k0.6,classical,0.33766233766233766,0.9437602110103495,0.9565489979116114
84,105,restart-t0-k0.75,classical,0.33766233766233766,0.9662402053514118,0.9609510441549419
84,105,restart-t1-k0.6,classical,0.3116883116883117,0.9664374621806935,0.9812975573094029
84,105,restart-t1-k0.75,classical,0.3246753246753247,0.9839474932960586,0.9847263294442762
84,105,restart-t2-k0.6,classical,0.35064935064935066,0.963033218608931,0.9806309555230954
84,105,restart-t2-k0.75,classical,0.35064935064935066,0.969471174221641,0.9818915842047137
84,105,restart-t3-k0.6,classical,0.2987012987012987,0.9906771722941901,1.0068863869664786
84,105,restart-t3-k0.75,classical,0.2987012987012987,1.0393854821403326,1.0164244178474078
84,105,restart-t4-k0.6,classical,0.3246753246753247,0.9591969865702384,0.9798797005885418
84,105,restart-t4-k0.75,classical,0.3246753246753247,0.9611712494262393,0.9802663458687566
84,105,restart-t5-k0.6,classical,0.3246753246753247,0.9647510607493545,0.9809673089108294
84,105,restart-t5-k0.75,classical,0.3116883116883117,0.9619864444560865,0.9804259416973852
84,105,boundary-fix,classical,0.05194805194805195,1.0095736499127697,1.0105867063560905
85,106,dit-abacus-0.55,DiT,0.43243243243243246,1.1612610001732204,1.0353293715860723
85,106,dit-abacus-0.55-bfix,DiT,0.43243243243243246,1.1612610001732204,1.0353293715860723
